Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Salah Mejri,1471382.00,Tunisia,62.00,31.00,DAL,61.00,729.00,17.80,0.64,0.02,0.48,12.60,25.30,18.80,7.20,1.50,8.20,19.00,12.80,1.30,1.30,2.70,0.18,-2.10,5.40,3.20,1.00
Ryan Anderson,19578455.00,USA,21.00,29.00,HOU,66.00,1725.00,12.60,0.59,0.71,0.19,6.20,15.40,10.80,5.10,0.70,1.00,7.50,14.40,3.10,1.60,4.70,0.13,1.10,-0.80,0.20,1.00
Russell Westbrook,28530608.00,USA,4.00,29.00,OKC,77.00,2801.00,25.00,0.53,0.19,0.34,5.40,25.30,15.00,49.40,2.50,0.60,16.40,34.30,5.50,4.30,9.80,0.17,5.20,3.00,8.20,7.20
Rudy Gobert,21974719.00,France,27.00,25.00,UTA,52.00,1702.00,20.90,0.66,0.00,0.68,10.30,27.50,19.00,6.70,1.20,6.10,15.50,16.90,4.00,3.60,7.60,0.21,-0.30,4.50,4.20,2.70
Rudy Gay,8406000.00,USA,8.00,31.00,SAS,54.00,1160.00,17.80,0.55,0.22,0.27,6.70,19.50,13.10,9.50,1.90,2.60,11.60,24.50,0.90,2.00,2.90,0.12,-0.80,1.00,0.20,0.60
Royce O'Neale,815615.00,USA,62.00,24.00,UTA,65.00,1052.00,10.40,0.52,0.41,0.27,2.70,20.20,11.50,12.30,1.70,1.20,15.10,14.80,0.30,1.70,1.90,0.09,-2.70,1.70,-1.10,0.20
Rondae Hollis-Jefferson,1471382.00,USA,23.00,23.00,BRK,64.00,1811.00,17.30,0.55,0.07,0.44,5.80,19.80,12.70,14.20,1.60,1.70,11.50,22.60,2.30,1.80,4.10,0.11,-1.10,0.90,-0.20,0.80
Ron Baker,4328000.00,USA,62.00,24.00,NYK,29.00,385.00,9.30,0.50,0.56,0.44,1.40,7.20,4.30,15.50,3.30,1.40,20.40,10.00,0.10,0.40,0.50,0.06,-1.90,0.90,-1.00,0.10
Rodney Purvis,92160.00,USA,62.00,23.00,ORL,12.00,203.00,4.10,0.43,0.58,0.13,0.00,8.20,4.10,7.10,0.70,1.20,9.60,18.00,-0.30,0.10,-0.30,-0.06,-5.00,-2.70,-7.70,-0.30
Rodney McGruder,1312611.00,USA,62.00,26.00,MIA,15.00,258.00,12.40,0.62,0.48,0.09,3.50,8.30,5.90,6.90,1.60,0.70,5.70,12.30,0.40,0.30,0.70,0.13,0.30,-0.60,-0.30,0.10
Rodney Hood,2386864.00,USA,23.00,25.00,TOT,58.00,1576.00,14.40,0.55,0.45,0.16,1.60,9.80,5.80,9.70,1.40,0.60,8.10,24.60,1.10,1.40,2.50,0.08,0.20,-2.20,-2.10,0.00
Robin Lopez,13788500.00,USA,15.00,29.00,CHI,64.00,1690.00,14.70,0.55,0.02,0.14,8.20,10.20,9.20,12.30,0.40,2.80,13.50,20.40,1.20,0.80,2.00,0.06,-1.60,-0.20,-1.90,0.10
Robert Covington,16698103.00,USA,62.00,27.00,PHI,76.00,2408.00,12.80,0.56,0.66,0.16,2.50,15.30,9.10,8.70,2.60,2.20,12.30,17.50,1.50,4.20,5.70,0.11,0.40,2.00,2.40,2.70
Ricky Rubio,14275000.00,Spain,5.00,27.00,UTA,73.00,2185.00,15.00,0.53,0.33,0.31,2.20,15.20,8.80,28.30,2.60,0.40,18.30,22.80,1.20,3.50,4.70,0.10,-0.10,1.50,1.30,1.80
Richaun Holmes,1471382.00,USA,37.00,24.00,PHI,44.00,668.00,16.80,0.57,0.14,0.24,8.60,22.00,15.50,12.80,1.30,3.20,8.40,16.70,1.30,1.10,2.40,0.18,-0.50,1.90,1.40,0.60
Richard Jefferson,2500000.00,USA,13.00,37.00,DEN,20.00,163.00,6.30,0.50,0.26,0.26,1.40,10.40,5.90,12.00,0.60,0.50,14.30,9.30,0.10,0.00,0.10,0.03,-3.80,-2.10,-5.90,-0.20
Reggie Jackson,16000000.00,USA,24.00,27.00,DET,41.00,1084.00,15.50,0.52,0.29,0.23,2.70,9.30,5.90,32.10,1.10,0.30,14.30,27.40,0.70,0.90,1.60,0.07,0.50,-2.10,-1.60,0.10
Reggie Bullock,2500000.00,USA,25.00,26.00,DET,62.00,1732.00,13.60,0.62,0.52,0.09,1.70,8.30,4.90,8.40,1.40,0.70,7.60,15.70,2.80,1.50,4.30,0.12,1.30,-0.60,0.70,1.20
Raymond Felton,2328652.00,USA,5.00,33.00,OKC,79.00,1324.00,13.20,0.49,0.41,0.08,2.00,11.10,6.40,22.90,1.80,1.00,11.50,20.40,0.90,1.30,2.20,0.08,-1.10,-1.80,-2.80,-0.30
Raul Neto,1471382.00,Brazil,47.00,25.00,UTA,39.00,478.00,12.30,0.55,0.31,0.22,1.70,9.40,5.60,23.20,1.20,0.70,16.50,18.30,0.40,0.50,0.90,0.09,-1.70,-1.30,-3.10,-0.10
Rashad Vaughn,1889040.00,USA,17.00,21.00,TOT,28.00,212.00,9.30,0.55,0.66,0.11,1.60,9.90,5.80,8.70,1.20,1.20,9.30,13.80,0.10,0.10,0.20,0.05,-1.90,-2.90,-4.70,-0.10
Ramon Sessions,2328652.00,USA,56.00,31.00,TOT,27.00,391.00,10.80,0.47,0.22,0.48,1.70,9.10,5.50,26.50,1.80,0.40,17.60,19.20,0.00,0.30,0.30,0.03,-3.20,-2.00,-5.20,-0.30
Rajon Rondo,3300000.00,USA,21.00,31.00,NOP,61.00,1591.00,14.90,0.52,0.30,0.09,2.00,14.40,8.40,41.60,1.80,0.50,22.60,16.80,1.70,1.50,3.20,0.10,-0.60,-0.90,-1.50,0.20
Quinn Cook,100000.00,USA,62.00,24.00,GSW,29.00,597.00,13.40,0.60,0.41,0.10,1.60,10.10,6.20,16.70,0.90,0.10,10.80,17.70,1.00,0.40,1.40,0.11,0.70,-2.70,-2.00,0.00
Quincy Pondexter,3853931.00,USA,26.00,29.00,CHI,23.00,196.00,4.00,0.40,0.45,0.35,4.20,10.70,7.40,6.30,2.00,0.90,16.30,15.00,-0.30,0.10,-0.20,-0.05,-6.10,-0.60,-6.60,-0.20
Quincy Acy,1709538.00,USA,37.00,27.00,BRK,66.00,1270.00,7.50,0.51,0.80,0.17,3.10,17.20,10.10,5.90,1.10,1.60,14.10,14.30,-0.40,1.00,0.60,0.02,-2.50,-0.30,-2.80,-0.20
